Baden-Württemberg,11280257
Bavaria,13369393
Berlin,3755251
Brandenburg,2573135
Bremen,684864
Hamburg,1892122
Hesse,6391360
Mecklenburg-Western Pomerania,1628378
Lower Saxony,8140242
North Rhine-Westphalia,18139116
Rhineland-Palatinate,4159150
Saarland,992666
Saxony,4086152
Saxony-Anhalt,2186643
Schleswig-Holstein,2953270
Thuringia,2126846
